screen_name,tweets,tweet_location
EbookPromoTeam,12‰ªâ24‰ªÛ36‰Û_The Beginning‰Û_The End‰Û_The Beginning - Available on #Amazon - https://t.co/dYdJ4YI10D @Gilmore1Mike https://t.co/VfsVHcj3WL,Washington DC
Its_Wikipedia,"""The ""what ifs"" and ""should haves"" will eat your brain."" - John O'Callaghan",Washington DC
Gaming_Area,"Destiny's Halloween event adds masks, quests, and the Thriller dance https://t.co/1mMtygR7Nc (via @GamesRadar)",Washington DC
Benjinho_HD,The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/G7QPaBvtHo,Washington DC
NEWSorNOTHING,Art installation in Italy ended up in the bin by cleaners who thought it was rubbish | Read: https://t.co/0bFZqfnzD1 by Telegraph,Washington DC
FinanzCashFlow,YBG_Anthony: Live on OnIt Tv  from the Rugby World Cup 2015 -  Final Sat 31st 3rd &amp; 4th place 30th Oct #rwc2015 #c‰Û_ https://t.co/A9ppl1p8qT,Washington DC 
TScpSagittarius,How does The Sun affect Sagittarius? Read more about The Sun in Sagittarius here:  https://t.co/gr597CUb3h,Washington DC 
StereoBlogging,Earl Sweatshirt Says Drake Exploits Young Rappers https://t.co/SCFYs44DiR [EN],Washington DC 
AlisonCooperVA,Improvements to AU leave in Xero: how the changes could affect you https://t.co/ndnfC5TUFd #xero,Washington DC 
Koran_Inggris,Like mother like daughter - pair take refereeing skills to the ice https://t.co/3uOOIaV1P3,Washington DC 
FinanzCashFlow,YBG_Anthony: Live on OnIt Tv  from the Rugby World Cup 2015 -  Final Sat 31st 3rd &amp; 4th place 30th Oct #rwc2015 #T‰Û_ https://t.co/A9ppl1p8qT,Washington DC 
MMMPublications,Booksie: What Is Going On Here?: This haiku poem is an answer to the question that happens to be ... https://t.co/IEqhk4Mcdm #Books #News,Washington DC 
XyanHeiress,"@HiddenEmpress 

""What makes me so sure of this? Because I know for a fact there is not one succubi that can stop me from becoming the‰ÛÓ","Washington, DC"
FLUKESIVAN,@EASELRH the boys in UR school need to get a griP,"Washington, DC"
DanteIsNotDope,pumpkin spice lattes and chill?,"Washington, DC"
karlyn_kirchens,Theo is in every picture me and Harrison have together,"Washington, DC"
Music_metAIR,"Tune in and find inspiration!!!
https://t.co/3mhefbMxxV
At @radioxanthi935 with Basilis and @lydi_gkai .","Washington, DC"
LauraTMusic,And nothing will be impossible for you. -Matthew 17.20,"Washington, DC"
Peggy_Kittyxxx,Lovely model mast_urabting outdoors in the backyard https://t.co/qkxpbwlw1o,"Washington, DC"
_baiibai,"The moment TÌ÷P tickets go on sale, I'm buying them.","Washington, DC"
victoriacheng__,I forgot where I parked at school and made Brittany circle around a parking lot for like 15 minutes only to realize it was the wrong lot_Ù÷â_Ù÷â,"Washington, DC"
FoxHedgehog,@Cleverestcookie Not in the same way. They couldn't demand a nationwide rate. @clifford0584 @parthaskar,"Washington, DC"
DJ_UnDisTone,1 new unfollower and 1 new follower (hello! hello!) in the last week. Via https://t.co/bsWu3DwOd2,"Washington, DC"
HoneyBadger10,Did you see the article about cancer causing hot dogs _Ù÷â https://t.co/zJY4DpQVtJ,"Washington, DC"
GiGiCapone,NEWS: A Star Is Viral: How 'Jem and the Holograms' Doesn't Get the Internet: Jem and the Holograms was a... https://t.co/z3cgca2XMp #GCPR,"Washington, DC"
